city,region,year,month,temp,temp_max,temp_min,precip,wind,radiation
Belo Horizonte,Sudeste,1980,1,21.13225806451613,25.074193548387097,18.13225806451613,257.2,11.216129032258063,18.100967741935484
Belo Horizonte,Sudeste,1980,2,21.5,25.66551724137931,17.97241379310345,163.1,11.489655172413793,19.75241379310345
Belo Horizonte,Sudeste,1980,3,21.677419354838708,27.019354838709678,16.567741935483873,50.400000000000006,9.993548387096775,22.365161290322582
Belo Horizonte,Sudeste,1980,4,19.933333333333334,24.426666666666666,16.366666666666667,125.8,11.486666666666668,15.575333333333333
Belo Horizonte,Sudeste,1980,5,18.687096774193545,23.951612903225808,13.98709677419355,4.4,10.374193548387098,15.481935483870968
Belo Horizonte,Sudeste,1980,6,16.646666666666665,21.540000000000003,12.29,20.5,11.473333333333333,11.853000000000002
Belo Horizonte,Sudeste,1980,7,17.04516129032258,23.006451612903227,11.525806451612903,1.3,11.093548387096773,15.153548387096773
Belo Horizonte,Sudeste,1980,8,18.799999999999997,24.309677419354838,13.606451612903227,9.5,13.077419354838709,16.82677419354839
Belo Horizonte,Sudeste,1980,9,19.266666666666666,24.586666666666666,14.29,47.199999999999996,13.513333333333332,17.733333333333334
Belo Horizonte,Sudeste,1980,10,21.032258064516128,26.432258064516127,16.151612903225807,97.4,13.754838709677419,21.8341935483871
Belo Horizonte,Sudeste,1980,11,20.163333333333334,24.07,16.966666666666665,261.4,13.03,17.054333333333332
Belo Horizonte,Sudeste,1980,12,21.12258064516129,25.096774193548388,18.03548387096774,344.9,12.187096774193549,18.219677419354838
Belo Horizonte,Sudeste,1981,1,21.316129032258065,25.648387096774194,17.529032258064515,215.7,11.380645161290323,19.83483870967742
Belo Horizonte,Sudeste,1981,2,21.857142857142858,26.592857142857145,17.439285714285713,40.3,12.807142857142859,23.13642857142857
Belo Horizonte,Sudeste,1981,3,21.66774193548387,25.56451612903226,18.44193548387097,255.6,11.106451612903227,15.753870967741936
Belo Horizonte,Sudeste,1981,4,18.8,23.576666666666664,14.306666666666667,21.4,11.95,17.38
Belo Horizonte,Sudeste,1981,5,17.68064516129032,22.44516129032258,13.535483870967743,25.1,11.412903225806453,13.688387096774193
Belo Horizonte,Sudeste,1981,6,15.686666666666667,20.776666666666664,10.983333333333333,48.8,11.266666666666667,12.953333333333335
Belo Horizonte,Sudeste,1981,7,15.390322580645162,20.993548387096773,10.19032258064516,0.8,11.974193548387097,14.75258064516129
Belo Horizonte,Sudeste,1981,8,17.34193548387097,23.306451612903224,11.63225806451613,33.9,10.983870967741936,18.276451612903227
Belo Horizonte,Sudeste,1981,9,19.926666666666666,26.4,13.84,46.1,12.016666666666667,21.677666666666667
Belo Horizonte,Sudeste,1981,10,18.932258064516127,22.712903225806453,15.906451612903227,219.6,12.761290322580646,14.926129032258064
Belo Horizonte,Sudeste,1981,11,20.726666666666667,24.793333333333333,17.66,324.59999999999997,11.08,17.113333333333333
Belo Horizonte,Sudeste,1981,12,21.15806451612903,25.448387096774194,17.63225806451613,203.2,11.745161290322581,19.962903225806453
Belo Horizonte,Sudeste,1982,1,20.529032258064515,24.038709677419355,17.864516129032257,372.4,11.951612903225806,16.028387096774193
Belo Horizonte,Sudeste,1982,2,21.90357142857143,26.760714285714283,17.532142857142855,69.3,11.742857142857144,23.730357142857144
Belo Horizonte,Sudeste,1982,3,20.73548387096774,24.316129032258065,18.1,383.7,10.893548387096773,13.347096774193549
Belo Horizonte,Sudeste,1982,4,18.446666666666665,22.86,14.610000000000001,59.0,10.42,16.115666666666666
Belo Horizonte,Sudeste,1982,5,16.980645161290322,21.58709677419355,12.783870967741937,50.1,11.5,13.676129032258064
Belo Horizonte,Sudeste,1982,6,17.540000000000003,23.103333333333335,12.676666666666668,3.1,10.496666666666666,13.901
Belo Horizonte,Sudeste,1982,7,17.206451612903226,23.067741935483873,11.858064516129033,9.6,11.396774193548387,15.06967741935484
Belo Horizonte,Sudeste,1982,8,19.029032258064515,24.351612903225806,14.348387096774195,9.6,12.296774193548387,16.212258064516128
Belo Horizonte,Sudeste,1982,9,19.1,24.506666666666668,14.266666666666667,24.299999999999997,13.513333333333332,18.522
Belo Horizonte,Sudeste,1982,10,20.693548387096776,25.33225806451613,17.009677419354837,125.3,12.870967741935484,18.50709677419355
Belo Horizonte,Sudeste,1982,11,23.583333333333332,28.94,18.833333333333332,77.5,11.303333333333335,24.297666666666665
Belo Horizonte,Sudeste,1982,12,21.141935483870967,25.032258064516128,18.206451612903226,329.1,12.316129032258065,16.451612903225808
Belo Horizonte,Sudeste,1983,1,21.009677419354837,24.509677419354837,18.729032258064517,457.8,13.264516129032257,14.044516129032258
